,rank_2018,primary_school_name,total_vacancy,percentage_balance_vacancy,balance_vacancy,primary_school_name_clean,index,ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y
60,61, St. Anthony’s Primary School ,147,30.00%, 63/210, Saint Anthony Primary School ,0,30 BUKIT BATOK STREET 32 SAINT ANTHONY'S PRIMARY SCHOOL SINGAPORE 659401,30,SAINT ANTHONY'S PRIMARY SCHOOL,1.36411948475835,103.749251919049,103.749251919049,659401,BUKIT BATOK STREET 32,SAINT ANTHONY'S PRIMARY SCHOOL,18644.373300924,38463.0810494535
61,62, Woodlands Primary School ,147,30.00%, 63/210, Woodlands Primary School ,0,10 WOODLANDS DRIVE 50 WOODLANDS PRIMARY SCHOOL SINGAPORE 738853,10,WOODLANDS PRIMARY SCHOOL,1.43655108594233,103.791570546509,103.791570546509,738853,WOODLANDS DRIVE 50,WOODLANDS PRIMARY SCHOOL,23354.0808293363,46472.0799515154
62,63, Compassvale Primary School ,147,38.80%, 93/240, Compassvale Primary School ,0,21 COMPASSVALE STREET COMPASSVALE PRIMARY SCHOOL SINGAPORE 545091,21,COMPASSVALE PRIMARY SCHOOL,1.39444529636568,103.897812229905,103.897812229905,545091,COMPASSVALE STREET,COMPASSVALE PRIMARY SCHOOL,35177.2900137771,41816.2900234852
63,64, De La Salle School ,147,45.60%, 123/270, De La Salle School ,0,11 CHOA CHU KANG STREET 52 DE LA SALLE SCHOOL SINGAPORE 689285,11,DE LA SALLE SCHOOL,1.39470782963993,103.743201812831,103.743201812831,689285,CHOA CHU KANG STREET 52,DE LA SALLE SCHOOL,17971.1954546729,41845.4133931305
64,65, Riverside Primary School ,145,31.00%, 65/210, Riverside Primary School ,0,110 WOODLANDS CRESCENT RIVERSIDE PRIMARY SCHOOL SINGAPORE 737803,110,RIVERSIDE PRIMARY SCHOOL,1.44704734253722,103.801831963297,103.801831963297,737803,WOODLANDS CRESCENT,RIVERSIDE PRIMARY SCHOOL,24496.0361921676,47632.685174657
65,66, Princess Elizabeth Primary School ,144,31.40%, 66/210, Princess Elizabeth Primary School ,0,30 BUKIT BATOK WEST AVENUE 3 PRINCESS ELIZABETH PRIMARY SCHOOL SINGAPORE 659163,30,PRINCESS ELIZABETH PRIMARY SCHOOL,1.34920351265302,103.74101964471,103.74101964471,659163,BUKIT BATOK WEST AVENUE 3,PRINCESS ELIZABETH PRIMARY SCHOOL,17728.1546840407,36813.7803722415
66,67, Hougang Primary School ,142,32.40%, 68/210, Hougang Primary School ,0,1 HOUGANG STREET 93 HOUGANG PRIMARY SCHOOL SINGAPORE 534238,1,HOUGANG PRIMARY SCHOOL,1.37738249360778,103.880807295096,103.880807295096,534238,HOUGANG STREET 93,HOUGANG PRIMARY SCHOOL,33284.9030731544,39929.5262386091
67,68, Concord Primary School ,141,41.30%, 99/240, Concord Primary School ,0,3 CHOA CHU KANG AVENUE 4 CONCORD PRIMARY SCHOOL SINGAPORE 689814,3,CONCORD PRIMARY SCHOOL,1.38000806197243,103.736225440727,103.736225440727,689814,CHOA CHU KANG AVENUE 4,CONCORD PRIMARY SCHOOL,17194.7500582747,40220.0161901638
68,69, Junyuan Primary School ,140,22.20%, 40/180, Junyuan Primary School ,0,2 TAMPINES STREET 91 JUNYUAN PRIMARY SCHOOL SINGAPORE 528906,2,JUNYUAN PRIMARY SCHOOL,1.34787051230886,103.939220537934,103.939220537934,528906,TAMPINES STREET 91,JUNYUAN PRIMARY SCHOOL,39785.7187801814,36666.4452711176
69,70, Pasir Ris Primary School ,139,22.80%, 41/180, Pasir Ris Primary School ,0,5 PASIR RIS STREET 21 PASIR RIS PRIMARY SCHOOL SINGAPORE 518968,5,PASIR RIS PRIMARY SCHOOL,1.37241870245533,103.962807212116,103.962807212116,518968,PASIR RIS STREET 21,PASIR RIS PRIMARY SCHOOL,42410.5136828683,39380.9927665405
70,71, Horizon Primary School ,139,56.60%, 181/320, Horizon Primary School ,0,61 EDGEDALE PLAINS HORIZON PRIMARY SCHOOL SINGAPORE 828819,61,HORIZON PRIMARY SCHOOL,1.39955003449202,103.913404855665,103.913404855665,828819,EDGEDALE PLAINS,HORIZON PRIMARY SCHOOL,36912.5247354368,42380.7999362014
71,72, Clementi Primary School ,137,42.90%, 103/240, Clementi Primary School ,0,8 CLEMENTI AVENUE 3 CLEMENTI PRIMARY SCHOOL SINGAPORE 129903,8,CLEMENTI PRIMARY SCHOOL,1.31506321827877,103.763144493687,103.763144493687,129903,CLEMENTI AVENUE 3,CLEMENTI PRIMARY SCHOOL,20190.2983410191,33038.6364921592
72,73, Chongzheng Primary School ,136,24.40%, 44/180, Chongzheng Primary School ,0,1 TAMPINES STREET 21 CHONGZHENG PRIMARY SCHOOL SINGAPORE 529392,1,CHONGZHENG PRIMARY SCHOOL,1.35070739237745,103.951399541868,103.951399541868,529392,TAMPINES STREET 21,CHONGZHENG PRIMARY SCHOOL,41141.0940594189,36980.1959562823
73,74, Lakeside Primary School ,136,35.20%, 74/210, Lakeside Primary School ,0,161 CORPORATION WALK LAKESIDE PRIMARY SCHOOL SINGAPORE 618310,161,LAKESIDE PRIMARY SCHOOL,1.33820397676916,103.718089546936,103.718089546936,618310,CORPORATION WALK,LAKESIDE PRIMARY SCHOOL,15176.2292257221,35597.6142998803
74,75, Geylang Methodist School (Primary) ,136,49.60%, 134/270, Geylang Methodist School (Primary) ,0,4 GEYLANG EAST CENTRAL GEYLANG METHODIST SCHOOL (PRIMARY) SINGAPORE 389706,4,GEYLANG METHODIST SCHOOL (PRIMARY),1.31759126757286,103.883845744916,103.883845744916,389706,GEYLANG EAST CENTRAL,GEYLANG METHODIST SCHOOL (PRIMARY),33623.1818729443,33318.1223668922
75,76, Palm View Primary School ,135,50.00%, 135/270, Palm View Primary School ,0,150 COMPASSVALE BOW PALM VIEW PRIMARY SCHOOL SINGAPORE 544822,150,PALM VIEW PRIMARY SCHOOL,1.38376923022127,103.891354675017,103.891354675017,544822,COMPASSVALE BOW,PALM VIEW PRIMARY SCHOOL,34458.6783197634,40635.7654705271
76,77, White Sands Primary School ,133,26.10%, 47/180, White Sands Primary School ,0,2 PASIR RIS STREET 11 WHITE SANDS PRIMARY SCHOOL SINGAPORE 519075,2,WHITE SANDS PRIMARY SCHOOL,1.36555714668556,103.960918869319,103.960918869319,519075,PASIR RIS STREET 11,WHITE SANDS PRIMARY SCHOOL,42200.4040547693,38622.2636750322
77,78, West Grove Primary School ,132,37.10%, 78/210, West Grove Primary School ,0,1 JURONG WEST STREET 72 WEST GROVE PRIMARY SCHOOL SINGAPORE 649223,1,WEST GROVE PRIMARY SCHOOL,1.34487905600144,103.699286360581,103.699286360581,649223,JURONG WEST STREET 72,WEST GROVE PRIMARY SCHOOL,13083.6706046294,36335.8187624346
78,79, Woodgrove Primary School ,130,38.10%, 80/210, Woodgrove Primary School ,0,2 WOODLANDS DRIVE 14 WOODGROVE PRIMARY SCHOOL SINGAPORE 738079,2,WOODGROVE PRIMARY SCHOOL,1.43310340168969,103.790604437613,103.790604437613,738079,WOODLANDS DRIVE 14,WOODGROVE PRIMARY SCHOOL,23246.5605064053,46090.8542425763
79,80, Teck Ghee Primary School ,126,40.00%, 84/210, Teck Ghee Primary School ,0,1 ANG MO KIO STREET 32 TECK GHEE PRIMARY SCHOOL SINGAPORE 569299,1,TECK GHEE PRIMARY SCHOOL,1.36558782075971,103.850957126982,103.850957126982,569299,ANG MO KIO STREET 32,TECK GHEE PRIMARY SCHOOL,29962.9602906751,38625.2859029397
80,81, Jiemin Primary School ,125,40.50%, 85/210, Jiemin Primary School ,0,2 YISHUN STREET 71 JIEMIN PRIMARY SCHOOL SINGAPORE 768515,2,JIEMIN PRIMARY SCHOOL,1.42768620385279,103.830427933344,103.830427933344,768515,YISHUN STREET 71,JIEMIN PRIMARY SCHOOL,27678.3140832763,45491.8036267571
81,82, Kheng Cheng School ,124,48.30%, 116/240, Kheng Cheng School ,0,15 LORONG 3 TOA PAYOH KHENG CHENG SCHOOL SINGAPORE 319580,15,KHENG CHENG SCHOOL,1.33733819356392,103.847148501824,103.847148501824,319580,LORONG 3 TOA PAYOH,KHENG CHENG SCHOOL,29539.1234353306,35501.5835219603
82,83, Chij (Katong) Primary ,123,41.40%, 87/210, Chij (Katong) Primary ,0,17 MARTIA ROAD CHIJ (KATONG) PRIMARY SINGAPORE 424821,17,CHIJ (KATONG) PRIMARY,1.30648535277089,103.911105620496,103.911105620496,424821,MARTIA ROAD,CHIJ (KATONG) PRIMARY,36656.9804726075,32090.1643723622
83,84, Greenridge Primary School ,122,49.20%, 118/240, Greenridge Primary School ,0,11 JELAPANG ROAD GREENRIDGE PRIMARY SCHOOL SINGAPORE 677744,11,GREENRIDGE PRIMARY SCHOOL,1.38588921936923,103.767794469258,103.767794469258,677744,JELAPANG ROAD,GREENRIDGE PRIMARY SCHOOL,20708.0073222201,40870.2050487604
84,85, Jurong West Primary School ,118,43.80%, 92/210, Jurong West Primary School ,0,30 JURONG WEST STREET 61 JURONG WEST PRIMARY SCHOOL SINGAPORE 648368,30,JURONG WEST PRIMARY SCHOOL,1.33917519796107,103.698803732244,103.698803732244,648368,JURONG WEST STREET 61,JURONG WEST PRIMARY SCHOOL,13029.9245329099,35705.116522558
85,86, Evergreen Primary School ,118,43.80%, 92/210, Evergreen Primary School ,0,31 WOODLANDS CIRCLE EVERGREEN PRIMARY SCHOOL SINGAPORE 738908,31,EVERGREEN PRIMARY SCHOOL,1.44415064298951,103.794581221647,103.794581221647,738908,WOODLANDS CIRCLE,EVERGREEN PRIMARY SCHOOL,23689.1373903845,47312.39509161
86,87, Zhenghua Primary School ,118,50.80%, 122/240, Zhenghua Primary School ,0,9 FAJAR ROAD ZHENGHUA PRIMARY SCHOOL SINGAPORE 679002,9,ZHENGHUA PRIMARY SCHOOL,1.37954887512233,103.769313521752,103.769313521752,679002,FAJAR ROAD,ZHENGHUA PRIMARY SCHOOL,20877.0395431854,40169.1169131175
87,88, St. Stephen’s School ,116,44.80%, 94/210, Saint Stephen School ,0,20 SIGLAP VIEW SAINT STEPHEN'S SCHOOL SINGAPORE 455789,20,SAINT STEPHEN'S SCHOOL,1.31878997295137,103.917258129598,103.917258129598,455789,SIGLAP VIEW,SAINT STEPHEN'S SCHOOL,37341.6528278189,33450.7695051674
88,89, North Vista Primary School ,114,57.80%, 156/270, North Vista Primary School ,0,20 COMPASSVALE LINK NORTH VISTA PRIMARY SCHOOL SINGAPORE 544974,20,NORTH VISTA PRIMARY SCHOOL,1.38282243016301,103.895961877928,103.895961877928,544974,COMPASSVALE LINK,NORTH VISTA PRIMARY SCHOOL,34971.4042828055,40531.0861005466
89,90, St. Margaret’s Primary School ,112,44.00%, 88/200, Saint Margaret Primary School ,0,99 WILKIE ROAD SAINT MARGARET'S PRIMARY SCHOOL SINGAPORE 228091,99,SAINT MARGARET'S PRIMARY SCHOOL,1.30378845667471,103.846251114072,103.846251114072,228091,WILKIE ROAD,SAINT MARGARET'S PRIMARY SCHOOL,29439.2729892051,31791.8252364676
90,91, Zhangde Primary School ,112,46.70%, 98/210, Zhangde Primary School ,0,51 JALAN MEMBINA ZHANGDE PRIMARY SCHOOL SINGAPORE 169485,51,ZHANGDE PRIMARY SCHOOL,1.28421153335382,103.825951875662,103.825951875662,169485,JALAN MEMBINA,ZHANGDE PRIMARY SCHOOL,27180.1468993295,29627.1075303163
91,92, Xingnan Primary School ,108,40.00%, 72/180, Xingnan Primary School ,0,5 JURONG WEST STREET 91 XINGNAN PRIMARY SCHOOL SINGAPORE 649036,5,XINGNAN PRIMARY SCHOOL,1.34254744877696,103.687950252103,103.687950252103,649036,JURONG WEST STREET 91,XINGNAN PRIMARY SCHOOL,11822.0669615427,36078.0729275402
92,93, Chij (Kellock) ,108,46.00%, 92/200, Chij (Kellock) ,0,1 BUKIT TERESA ROAD CHIJ (KELLOCK) SINGAPORE 099757,1,CHIJ (KELLOCK),1.27502272296403,103.828157564896,103.828157564896,099757,BUKIT TERESA ROAD,CHIJ (KELLOCK),27425.6197932577,28611.0557805952
93,94, Chua Chu Kang Primary School ,108,48.60%, 102/210, Chua Chu Kang Primary School ,0,20 CHOA CHU KANG AVENUE 2 CHUA CHU KANG PRIMARY SCHOOL SINGAPORE 689905,20,CHUA CHU KANG PRIMARY SCHOOL,1.3777589009337,103.741832917421,103.741832917421,689905,CHOA CHU KANG AVENUE 2,CHUA CHU KANG PRIMARY SCHOOL,17818.7829598151,39971.2903354894
94,95, Fengshan Primary School ,108,48.60%, 102/210, Fengshan Primary School ,0,307 BEDOK NORTH ROAD FENGSHAN PRIMARY SCHOOL SINGAPORE 469680,307,FENGSHAN PRIMARY SCHOOL,1.32980598760786,103.931710293058,103.931710293058,469680,BEDOK NORTH ROAD,FENGSHAN PRIMARY SCHOOL,38949.9907227503,34668.9245775416
95,96, Naval Base Primary School ,108,55.00%, 132/240, Naval Base Primary School ,0,7 YISHUN AVENUE 4 NAVAL BASE PRIMARY SCHOOL SINGAPORE 769028,7,NAVAL BASE PRIMARY SCHOOL,1.41630663159389,103.838794077233,103.838794077233,769028,YISHUN AVENUE 4,NAVAL BASE PRIMARY SCHOOL,28609.3447617423,44233.5083953626
96,97, Edgefield Primary School ,108,61.40%, 172/280, Edgefield Primary School ,0,41 EDGEFIELD PLAINS EDGEFIELD PRIMARY SCHOOL SINGAPORE 828869,41,EDGEFIELD PRIMARY SCHOOL,1.40009139510997,103.907847599114,103.907847599114,828869,EDGEFIELD PLAINS,EDGEFIELD PRIMARY SCHOOL,36294.0746121528,42440.6405269783
97,98, Innova Primary School ,104,50.50%, 106/210, Innova Primary School ,0,80 WOODLANDS DRIVE 17 INNOVA PRIMARY SCHOOL SINGAPORE 737888,80,INNOVA PRIMARY SCHOOL,1.42896700684853,103.790607539185,103.790607539185,737888,WOODLANDS DRIVE 17,INNOVA PRIMARY SCHOOL,23246.8971469207,45633.4723797217
98,99, Tampines Primary School ,104,50.50%, 106/210, Tampines Primary School ,0,250 TAMPINES STREET 12 TAMPINES PRIMARY SCHOOL SINGAPORE 529426,250,TAMPINES PRIMARY SCHOOL,1.34977870805929,103.944004684986,103.944004684986,529426,TAMPINES STREET 12,TAMPINES PRIMARY SCHOOL,40318.1325834999,36877.4678724092
99,100, Anchor Green Primary School ,104,61.50%, 166/270, Anchor Green Primary School ,0,31 ANCHORVALE DRIVE ANCHOR GREEN PRIMARY SCHOOL SINGAPORE 544969,31,ANCHOR GREEN PRIMARY SCHOOL,1.39037014886962,103.887165375937,103.887165375937,544969,ANCHORVALE DRIVE,ANCHOR GREEN PRIMARY SCHOOL,33992.4459471302,41365.6508988272
100,101, Unity Primary School ,103,51.00%, 107/210, Unity Primary School ,0,21 CHOA CHU KANG CRESCENT UNITY PRIMARY SCHOOL SINGAPORE 688268,21,UNITY PRIMARY SCHOOL,1.40285481877249,103.746822625758,103.746822625758,688268,CHOA CHU KANG CRESCENT,UNITY PRIMARY SCHOOL,18374.1775784316,42746.2521210536
101,102, Endeavour Primary School ,101,57.90%, 139/240, Endeavour Primary School ,0,10 ADMIRALTY LINK ENDEAVOUR PRIMARY SCHOOL SINGAPORE 757521,10,ENDEAVOUR PRIMARY SCHOOL,1.45403837499303,103.817436231731,103.817436231731,757521,ADMIRALTY LINK,ENDEAVOUR PRIMARY SCHOOL,26232.5507349828,48405.7003912646
102,103, Fuhua Primary School ,101,57.90%, 139/240, Fuhua Primary School ,0,65 JURONG EAST STREET 13 FUHUA PRIMARY SCHOOL SINGAPORE 609647,65,FUHUA PRIMARY SCHOOL,1.33650394789627,103.736103745748,103.736103745748,609647,JURONG EAST STREET 13,FUHUA PRIMARY SCHOOL,17181.0134181529,35409.5467255637
103,104, Casuarina Primary School ,100,44.40%, 80/180, Casuarina Primary School ,0,30 PASIR RIS STREET 41 CASUARINA PRIMARY SCHOOL SINGAPORE 518935,30,CASUARINA PRIMARY SCHOOL,1.37246063955374,103.957020286387,103.957020286387,518935,PASIR RIS STREET 41,CASUARINA PRIMARY SCHOOL,41766.4977979418,39385.5958912373
104,105, Punggol Primary School ,100,52.40%, 110/210, Punggol Primary School ,0,61 HOUGANG AVENUE 8 PUNGGOL PRIMARY SCHOOL SINGAPORE 538787,61,PUNGGOL PRIMARY SCHOOL,1.37779451245844,103.894506933396,103.894506933396,538787,HOUGANG AVENUE 8,PUNGGOL PRIMARY SCHOOL,34809.5016551372,39975.1199618615
105,106, Greenwood Primary School ,100,58.30%, 140/240, Greenwood Primary School ,0,11 WOODLANDS DRIVE 62 GREENWOOD PRIMARY SCHOOL SINGAPORE 737942,11,GREENWOOD PRIMARY SCHOOL,1.43989958331785,103.804725587384,103.804725587384,737942,WOODLANDS DRIVE 62,GREENWOOD PRIMARY SCHOOL,24818.0410170285,46842.3174743243
106,107, Jing Shan Primary School ,99,34.00%, 51/150, Jing Shan Primary School ,0,5 ANG MO KIO STREET 52 JING SHAN PRIMARY SCHOOL SINGAPORE 569228,5,JING SHAN PRIMARY SCHOOL,1.372232909835,103.852132214306,103.852132214306,569228,ANG MO KIO STREET 52,JING SHAN PRIMARY SCHOOL,30093.7277568923,39360.0670565348
107,108, North View Primary School ,98,45.60%, 82/180, North View Primary School ,0,210 YISHUN AVENUE 6 NORTH VIEW PRIMARY SCHOOL SINGAPORE 768960,210,NORTH VIEW PRIMARY SCHOOL,1.42752327193729,103.848190787869,103.848190787869,768960,YISHUN AVENUE 6,NORTH VIEW PRIMARY SCHOOL,29655.0564113883,45473.7925722413
108,109, Alexandra Primary School ,97,53.80%, 113/210, Alexandra Primary School ,0,2A PRINCE CHARLES CRESCENT ALEXANDRA PRIMARY SCHOOL SINGAPORE 159016,2A,ALEXANDRA PRIMARY SCHOOL,1.29133439161336,103.824424680531,103.824424680531,159016,PRINCE CHARLES CRESCENT,ALEXANDRA PRIMARY SCHOOL,27010.1854815334,30414.7169698291
109,110, Queenstown Primary School ,97,59.60%, 143/240, Queenstown Primary School ,0,310 MARGARET DRIVE QUEENSTOWN PRIMARY SCHOOL SINGAPORE 149303,310,QUEENSTOWN PRIMARY SCHOOL,1.29559365009016,103.807548617332,103.807548617332,149303,MARGARET DRIVE,QUEENSTOWN PRIMARY SCHOOL,25132.029336134,30885.6966638323
110,111, Woodlands Ring Primary School ,97,59.60%, 143/240, Woodlands Ring Primary School ,0,11 WOODLANDS RING ROAD WOODLANDS RING PRIMARY SCHOOL SINGAPORE 738240,11,WOODLANDS RING PRIMARY SCHOOL,1.4349522931586,103.797435733144,103.797435733144,738240,WOODLANDS RING ROAD,WOODLANDS RING PRIMARY SCHOOL,24006.7839585375,46295.2823582552
111,112, Fernvale Primary School ,97,64.10%, 173/270, Fernvale Primary School ,0,1 FERNVALE LANE FERNVALE PRIMARY SCHOOL SINGAPORE 797701,1,FERNVALE PRIMARY SCHOOL,1.39030227963798,103.874445458032,103.874445458032,797701,FERNVALE LANE,FERNVALE PRIMARY SCHOOL,32576.88490103,41358.117803039
112,113, Punggol Cove Primary School ,97,69.70%, 223/320, Punggol Cove Primary School ,0,52 SUMANG WALK PUNGGOL COVE PRIMARY SCHOOL SINGAPORE 828674,52,PUNGGOL COVE PRIMARY SCHOOL,1.41159891873965,103.898804620697,103.898804620697,828674,SUMANG WALK,PUNGGOL COVE PRIMARY SCHOOL,35287.6769569106,43713.055106882
113,114, Fuchun Primary School ,96,54.30%, 114/210, Fuchun Primary School ,0,23 WOODLANDS AVENUE 1 FUCHUN PRIMARY SCHOOL SINGAPORE 739063,23,FUCHUN PRIMARY SCHOOL,1.43047990810127,103.778192944298,103.778192944298,739063,WOODLANDS AVENUE 1,FUCHUN PRIMARY SCHOOL,21865.3411816824,45800.7908879835
114,115, Tanjong Katong Primary School ,96,60.00%, 144/240, Tanjong Katong Primary School ,0,10 SERAYA ROAD TANJONG KATONG PRIMARY SCHOOL (U/C) SINGAPORE 437259,10,TANJONG KATONG PRIMARY SCHOOL (U/C),1.30528177350467,103.900128254182,103.900128254182,437259,SERAYA ROAD,TANJONG KATONG PRIMARY SCHOOL (U/C),35435.3037505941,31957.0435401425
115,116, Opera Estate Primary School ,94,47.80%, 86/180, Opera Estate Primary School ,0,48 FIDELIO STREET OPERA ESTATE PRIMARY SCHOOL SINGAPORE 458436,48,OPERA ESTATE PRIMARY SCHOOL,1.3193191443626,103.923788259248,103.923788259248,458436,FIDELIO STREET,OPERA ESTATE PRIMARY SCHOOL,38068.3909911728,33509.3080883566
116,117, Huamin Primary School ,91,56.70%, 119/210, Huamin Primary School ,0,21 YISHUN AVENUE 11 HUAMIN PRIMARY SCHOOL (U/C) SINGAPORE 768857,21,HUAMIN PRIMARY SCHOOL (U/C),1.42697284512938,103.844240226564,103.844240226564,768857,YISHUN AVENUE 11,HUAMIN PRIMARY SCHOOL (U/C),29215.4177919282,45412.9266837835
117,118, Haig Girls’ School ,89,50.60%, 91/180, Haig Girl School ,0,51 KOON SENG ROAD HAIG GIRLS' SCHOOL SINGAPORE 427072,51,HAIG GIRLS' SCHOOL,1.31194344271385,103.902902557195,103.902902557195,427072,KOON SENG ROAD,HAIG GIRLS' SCHOOL,35744.03794121,32693.6655622404
118,119, Elias Park Primary School ,88,51.10%, 92/180, Elias Park Primary School ,0,11 PASIR RIS STREET 52 ELIAS PARK PRIMARY SCHOOL SINGAPORE 518866,11,ELIAS PARK PRIMARY SCHOOL,1.37451269459895,103.945128117683,103.945128117683,518866,PASIR RIS STREET 52,ELIAS PARK PRIMARY SCHOOL,40443.0314508909,39612.4369948395
119,120, Beacon Primary School ,86,64.20%, 154/240, Beacon Primary School ,0,36 BUKIT PANJANG RING ROAD BEACON PRIMARY SCHOOL SINGAPORE 679944,36,BEACON PRIMARY SCHOOL,1.38394934487102,103.77363194111,103.77363194111,679944,BUKIT PANJANG RING ROAD,BEACON PRIMARY SCHOOL,21357.6378878588,40655.6862834729
120,121, Yishun Primary School ,85,59.50%, 125/210, Yishun Primary School ,0,500 YISHUN RING ROAD YISHUN PRIMARY SCHOOL SINGAPORE 768679,500,YISHUN PRIMARY SCHOOL,1.43338602948303,103.834087115915,103.834087115915,768679,YISHUN RING ROAD,YISHUN PRIMARY SCHOOL,28085.5266117798,46122.0614720955
121,122, Greendale Primary School ,83,74.10%, 237/320, Greendale Primary School ,0,50 EDGEDALE PLAINS GREENDALE PRIMARY SCHOOL SINGAPORE 828848,50,GREENDALE PRIMARY SCHOOL,1.39648761034483,103.912341048919,103.912341048919,828848,EDGEDALE PLAINS,GREENDALE PRIMARY SCHOOL,36794.148679073,42042.1682419889
